code_NACE,code_EAC,Description,Code_QM_Qualite,SMQ_Risque,Code_OH_Securite,SMS_Risque,Code_EM_Environnement,SME_Complexite,broad_cat,Tooltip,Accred_COFRAC_ISO9001,Accred_COFRAC_ISO45001,Accred_COFRAC_ISO14001
34,22,"Construction de véhicules à moteur (autos, motos, bicyclettes) - fab de carrosseries, de pièces & accessoires ",22.1,E,OH8,M ou E,EM22,M,K,SMS : M pour construction auto+carrosserie+pièce détachées et accessoires - E pour le reste,1,0,1
35,22,Construction de locomotives et de matériel roulant de chemin de fer et de tramway,22.2,E,OH8,E,EM22,M,K,,1,0,1
35,22,"Fabrication d'autres matériels de transport (militaires, ambulances…)",22.3,E,OH8,E,EM22,M,K,,1,0,1
36,23,Fabrication de meubles,23.1,M,OH9,M,EM1,F,E,,1,0,1
36,23,"Fabrication d'autres produits non classés ailleurs (bijoux, instruments de musique, articles de sport, jouets…)",23.2,M,OH9,M,EM1,F,K,,1,0,1
37,24,Recyclage de déchets et de débris métalliques et non métalliques,24.1,M,OH11,M,EM23,M,F,,1,0,1
40,25,Production et distribution d'électricité (à base de charbon),25.1,M,OH5,E,EM24,E,M,,1,0,1
40,25,Production et distribution d'électricité (à base d'autres sources que le charbon et le nucléaire),25.1,M,OH5,E,EM25,M,M,,1,0,1
40,25,Production et distribution d'électricité (à base de combustible nucléaire),25.1,M,OH5,E,EM26,E,M,SME : cas spécial,1,0,1
40,26,Production et distribution par un réseau de combustibles gazeux (extincteurs et bouteilles exclus car EAC12),26.1,M,OH5,E,EM27,M,M,,0,0,0
40,27,Production et distribution de vapeur et d'eau chaude,27.1,E,OH6,M,EM28,M,M,,1,0,1
41,27,"Collecte, purification et distribution d'eau",27.1,E,OH6,M,EM28,M,M,,1,0,1
45,28,"Construction de bâtiments (y compris le terrassement, la démolition...) - location de matériel de const. avec opérateur",28.1,M ou E,OH1,E,EM29,E,N,SMQ : moyen pour la location et élevé pour le reste,1,0,1
45,28,"Construction d'ouvrages de génie civil (y compris le terrassement, la démolition…)",28.2,E,OH1,E,EM29,E,N,,1,0,1
45,28,"Installation et finitions des constructions et ouvrages (électricité, plomberie, peinture…)",28.3,M,OH1,E,EM1,F,N,,1,0,1
50,29,"Vente/ commerce en gros & au détail de véhicules à moteur (autos, motos…), de pièces détachées et réparations",29.1,F ou M,OH7 ou 0H9,F ou M,EM1,F,O,"SMQ :  F pour vente de motos & pièces détachées et M pour le reste, SMS : F de OH7 pour la vente et M de OH9 pour les réparations",1,0,1
50,29,Vente/ commerce au détail de carburants,29.1,F,OH7,E,EM30,M,O,,1,0,1
51,29,"Vente/ commerce en gros de combustibles solides, liquides et gazeux et de produits connexes",29.2,F,OH7,E,EM30,M,O,,1,0,1
51,29,"Vente/ commerce en gros d'autres produits (véhicules à moteur, pièces détachées et combustibles exclus)",29.2,F,OH7,M ou E,EM1,F,O,SMS : Elevé pour produits chimiques et moyen pour les autres produits,1,0,1
52,29,Vente/ commerce au détail d'autres produits et réparations associées (véhicules et combustibles exclus) ,29.3,F,OH7,F,EM1,F,O,,1,0,1
55,30,"Hôtels, campings et autres offres d'hébergement de courte durée ",30.1,F,OH15,F ou M ,EM1,F,O,SMS : Moyen pour hotel et F pour le reste,1,0,1
55,30,"Restaurants, cantines, autre type de restauration (rapide...) et bars ",30.2,M,OH15,F,EM1,F,O,,1,0,1
60,31,"Transport routier et ferroviaire de passagers (autocars, taxis, trains…)",31.1,M,OH7,M,EM33,M,P,,1,0,1
61,31,"Transport maritime, côtier et par voies navigables de passagers",31.2,M,OH7,M,EM31,M,P,,1,0,1
62,31,Transport aérien et spatial de passagers,31.3,M,OH7,M,EM32,M,P,,1,0,1
60+63,31,"Transport routier & ferroviaire de marchandises, manutention et stockage",31.4,M,OH7,M ou E,EM33,M,P,SMS : Elevé si produits dangereux,1,0,1
61+63,31,"Transport maritime, côtier et par voie navigable de marchandises, manutention et stockage",31.4,M,OH7,M ou E,EM31,M,P,SMS : Elevé si produits dangereux,1,0,1
62+63,31,"Transport aérien et spatial de marchandises, manutention et stockage",31.4,M,OH7,M ou E,EM32,M,P,SMS : Elevé si produits dangereux,1,0,1
63,31,"Autres activités annexes au transport (gare, port, aéroport, agence voyage, assistance touristique, transit…)",31.5,M,OH7,M,EM31/32/33/45,M ou L,P,"SME : M pour EM31/32/33 ou L pour EM45 d'agences de voyage, assistance touristique, de transit",1,0,1
64,31,Activités postales et de messagerie,31.6,F,OH7,F,EM33,M,P,,1,0,1
64,31,Télécommunication,31.7,M,OH7,F,EM45,L,NA,,1,0,1
65,32,Intermédiaires financiers (banques…) (assurances et caisses de retraite exclues),32.1,M,OH15,F,EM34,E,Q,SME : cas spécial,1,0,1
66,32,"Assurance-vie, assurance non-vie, financement des régimes de retraite/ fonds de pension (sécurité sociale exclue)",32.2,M,OH15,F,EM34,E,Q,SME : cas spécial,1,0,1
67,32,"Activités auxiliaires des intermédiaires financiers et des assurances (agents en bourse, courtiers…)",32.3,M,OH15,F,EM34,E,Q,SME : cas spécial,1,0,1
70,32,"Activités immobilières (promoteurs, agences…)",32.4,F,OH15,F,EM35,M,Q,,1,0,1
71,32,"Location de véhicules, de machines, d'équipements, d'articles personnels et domestiques",32.5,F,OH15,F,EM1,F,Q,,1,0,1
72,33,"Informatique : conseil en matériel, conseil et fourniture de logiciels, traitement de données, réparation…",33.1,M,OH15,F,EM45,L,J,,1,0,1
73,34,"Recherche et développement expérimental en sciences naturelles, en génie, en sciences humaines…",34.1,M,OH15,F,EM45,L,R,,1,0,1
74,34,"Architecture, ingéniérie et conseil technique connexe",34.2,M,OH15,F,EM45,L,N,,1,0,1
74,34,Essais et analyses chimiques,34.2A,M,OH15,F,EM36,M,N,,1,0,1
74,34,Essais et analyses électriques,34.2B,M,OH15,F,EM36,M,N,,1,0,1
74,34,Essais et analyses agro-alimentaires,34.2C,M,OH15,F,EM36,M,N,,1,0,1
74,34,Essais et analyses physiques,34.2D,M,OH15,F,EM36,M,N,,1,0,1
74,35,Recrutement de main d'oeuvre et mise à disposition de personnel,35.1,M,OH15,F ou M ou E,EM45,L,R,SMS : en fonction des activités menées par le personnel,1,0,1
74,35,Activités juridiques,35.2,M,OH15,F,EM45,L,R,,1,0,1
74,35,"Activités comptables, audits comptable, conseil fiscal",35.3,M,OH15,F,EM45,L,R,,1,0,1
74,35,"Etudes de marché, sondages d'opinions publiques, publicités",35.4,M,OH15,F,EM45,L,R,,1,0,1
74,35,"Activités de conseil en management et en business, gestion de sociétés holding",35.5,M,OH15,F,EM45,L,R,,1,0,1
74,35,Activités d'enquêtes et de sécurité,35.6,M,OH15,M,EM45,L,R,,1,0,1
74,35,"Nettoyage industriel, spécialisé (ex blocs opératoires, avions, trains…) et non spécialisé",35.7,F,OH15,F ou M,EM37,M,R,SMS : Faible pour non spécialisé et M pour industriel et spécialisé,1,0,1
74,35,Autres activités non classées ailleurs,35.7,F,OH15,F,EM45,L,R,,1,0,1
75,36,Administration et politiques économiqes et sociales des collectivités locales (dont la sécurité sociale),36.1,M,OH15,F ou M ou E,EM38,E,R,"SMS : en fonction des activités menées, SME : cas spécial",1,0,0
75,36,Administration et politiques économiques et sociales de l'état (dont la sécurité sociale),36.1,M,OH15,F ou M ou E,EM39,E,R,"SMS : en fonction des activités menées, SME : cas spécial",1,0,0
75,36,Prestations de services aux collectivités,36.1,M,OH12,F ou M ou E,EM38,E,R,"SMS : en fonction des activités menées, SME : cas spécial",1,0,0
75,36,Prestations de service à l'état,36.1,M,OH12,F ou M ou E,EM39,E,R,"SMS : en fonction des activités menées, SME : cas spécial",1,0,0
80,37,Enseignement primaire et secondaire,37.1,M,OH15,F ou M ou E,EM45,L,NA,SMS : en fonction des activités menées,1,0,0
80,37,Enseignement supérieur,37.2,M,OH15,F ou M ou E,EM45,L,NA,SMS : en fonction des activités menées,1,0,0
80,37,Formation des adultes et autres formations non classés ailleurs (conduite…),37.3,M,OH15,F ou M ou E,EM45,L,NA,SMS : en fonction des activités menées,1,0,0
85,38,"Activités liées à la santé humaine (services hospitaliers/médicaux/para-médicaux, ambulances, radios, stérilisation…)",38.1,E,OH14,E,EM40,M,S,,1,0,0
85,38,"Activités de travail social avec hébergement (centres de convalescence, maisons de retraite, orphelinats…)",38.2,M,OH14,E,EM40,M,S,,1,0,0
85,38,"Activités de travail social sans hébergement (assistance sociale, crèches…)",38.3,M,OH14,E,EM40,M,S,,1,0,0
85,38,"Activités vétérinaires et activités associées (nettoyage, réparation des locaux et équipements…)",38.4,E,OH14,E,EM40,M,S,,1,0,0
90,39,Collecte et traitement de déchets - dépollution des sols et nappes phréatiques (eaux usées exclues),39.1,M,OH11,E,EM41,E,B,,1,0,1
90,39,Collecte et traitement des eaux usées,39.1,M,OH11,E,EM42,E,B,,1,0,1
91,39,"Activités des organisations associatives et des syndicats (professionnels, politiques, religieux…)",39.2,F,OH14,M,EM45,L,NA,,1,0,1
92,39,"Activités cinématographiques, de video, de radio et de télévision",39.3,F,OH14,M,EM45,L,R,,1,0,1
92,39,"Création et interprétation artistiques et littéraires - exploitation d'installations artistiques (musée, bibliothèque…)",39.4,F,OH14,M,EM45,L,R,,1,0,1
92,39,"Activités de foires, parcs d'attraction et autres activités de divertissement (zoos, jardins, parcs naturels…)",39.5,F,OH14,M,EM43,M,R,,1,0,1
92,39,"Activités des agences de presse (articles & reportages pour des éditeurs, la radio, la télévision, internet)",39.6,M,OH14,M,EM45,L,NA,,1,0,1
92,39,Activités liées au sport,39.7,F,OH14,M,EM43,M,R,,1,0,1
92,39,"Autres activités récréatives (jeux, paris, casinos, discothèques…) et services connexes",39.8,F,OH14,M,EM45,L,R,,1,0,1
93,39,Lavage et nettoyage à sec des produits textiles et des fourrnures,39.9,F,OH15,M,EM37,M,N,,1,0,1
93,39,Coiffure et autres soins de beauté,39.10,F,OH15,F,EM45,L,R,,1,0,1
93,39,"Activités funéraires et activités connexes (crematorium, cimetière…)",39.11,F,OH15,F,EM43,M,R,,1,0,1
93,39,Activités liées au bien-être physique (thalassothérapie…),38.1,F,OH15,F,EM45,L,R,,1,0,0
95,39,Ménage privé par du personnel employé,39.12,F,OH14,E,EM45,L,R,,1,0,1
99,39,"Organisations et activités d'organismes extra-territoriaux (bases militaires, consulats à l'étranger…)",39.12,F,OH14,L ou M ou E,EM45,L,NA,SMS : en fonction des activités menées,1,0,1
93,39,Autres activités de services non classés ailleurs,39.12,F,OH15,F,EM45,L,NA,,1,0,1
